Ai Tools Name,Types For Use,Categories,Pricing,Per Month,Site url,Review Count,Features
tl;dv,"The meeting recorder that transcribes & summarizes your calls with customers, prospects, and your team.","#summarizer
#transcriber",Freemium,$ 6/mo,https://tldv.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,0,1
Monica,Personal Al assistant for effortless chatting and copywriting.,"#general writing
#productivity",Freemium,$ 97/mo,https://monica.im/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,7,1
Bright Eye,"Multipurpose, all-in-one AI app to generate text, image, code, story, poem, and to analyze image and text, and much more.","#image generator
#productivity
#search engine",Free,$ 11/mo,https://apps.apple.com/us/app/bright-eye/id1593932475?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,10,1
KeywordSearch,KeywordSearch AI boosts ROI for Google & YouTube Ads. Find Best Ad Audiences for Business in minutes using AI & Sync them to Ad Account in One Click,#social media assistant,Free Trial,$29 ,https://www.keywordsearch.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,6,1
Quizgecko,AI-powered quiz generator to make unique trivia questions & answers.,"#social media assistant
#education assistant",Freemium,$ 9.99/mo,https://quizgecko.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,3,1
Lumiere 3D,Generate immersive 3D videos for e-commerce and marketing effortlessly.,"#e-commerce
#video generator",Paid,$ 99/mo,https://www.lumiere3d.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,2,2
Cody,The magic of ChatGPT but trained on your business.,#human resources,Freemium,$ 29/mo,https://www.meetcody.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,11,2
Audioread.com,"Listen to articles, PDFs, emails, YouTube in your podcast player",#productivity,Free Trial,$ 39/mo,https://audioread.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,2,1
Cohesive,The most powerful AI editor that amplifies your creativity and productivity.,#copywriting,Free Trial,$ 8/mo,https://cohesive.so/?utm_source=listing&utm_medium=futurepediamay,6,2
MagicForm,Train AI salesperson to boost conversions 20% in 3 mins,"#low-code/no-code
#sales",Freemium,$ 57/mo,https://www.magicform.ai/?via=Futurepedia,9,1
Adcreative.ai,Create conversion-focused ads & posts quickly & easily for better results.,"#copywriting
#social media assistant",Free Trial,$ 40/mo,https://free-trial.adcreative.ai/futurepedia,7,1
Shuffll,"AI-powered video production platform for fast, personalized content creation.","#video editing
#video generator
#personalized videos",Paid,$20 ,https://shuffll.com/futurepedia/,7,1
Andi,Andi is a generative AI-powered search engine that provides direct answers instead of just links.,#search engine,Free,$ 74/mo,https://andisearch.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,5,1
Taplio,Grow your personal brand on LinkedIn,#social media assistant,Free Trial,$ 9/mo.,https://taplio.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia,1,2
Chatbase,Build an AI chatbot trained on your data,#education assistant,Freemium,$ 0.00025/second,https://www.chatbase.co/?via=futurepedia,3,3
